№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
5609,Автобус,Остановка,"ДАЧНЫЙ ПР., 33","ДАЧНЫЙ ПР., 33",Дачный пр,"242, 265, 297, 345, 52, 68, 68А, 81, 89","59.837063551831882,30.2636337"
5610,Автобус,Остановка,СТРЕЛЬНИНСКИЙ ЛЕСОПИТОМНИК,СТРЕЛЬНИНСКИЙ ЛЕСОПИТОМНИК,,462,"59.795033998520729,30.0358696"
5611,Автобус,Остановка,"ПОРОЖКИ, ПО ТРЕБОВАНИЮ","ПОРОЖКИ, ПО ТРЕБОВАНИЮ",Гостилицкое шоссе,"463, 463А, 489, 682, 683, 683А, 684, 685А, 686","59.778835098349113,29.6331787"
5612,Автобус,Остановка,"ПОРОЖКИ, ПО ТРЕБОВАНИЮ","ПОРОЖКИ, ПО ТРЕБОВАНИЮ",Гостилицкое шоссе,"463, 463А, 682, 683, 683А, 684, 685А, 686","59.77832972290858,29.6331654"
5613,Автобус,Остановка,"ГОСТИЛИЦЫ, ВИШНЁВАЯ УЛ","ГОСТИЛИЦЫ, ВИШНЁВАЯ УЛ",Гостилицкое шоссе,"463, 463А, 489, 682, 683, 683А, 684, 685А, 686","59.757633700986545,29.6261501"
5614,Автобус,Остановка,"ГОСТИЛИЦЫ, ВИШНЁВАЯ УЛ","ГОСТИЛИЦЫ, ВИШНЁВАЯ УЛ",Гостилицкое шоссе,"463, 463А, 682, 683, 683А, 684, 685А, 686","59.757984587895628,29.6262741"
5615,Автобус,Остановка,"ГОСТИЛИЦЫ, ЦЕНТР","ГОСТИЛИЦЫ, ЦЕНТР","Гостилицкое шоссе, Комсомольская улица","463, 463А, 489, 682, 683, 683А, 684, 685А, 686","59.746265723621683,29.6226196"
5616,Автобус,Остановка,ДОРОГА НА КРАСНЫЙ БОР,ДОРОГА НА КРАСНЫЙ БОР,Гостилицкое шоссе,"463, 463А, 682, 683, 683А, 684, 685А, 686","59.73059056678234,29.6106358"
5617,Автобус,Остановка,ПР. МАРШАЛА ЖУКОВА,ПР. МАРШАЛА ЖУКОВА,"Ветеранов пр., Маршала Жукова пр","103, 130, 242, 246, 265, 284, 297, 329, 343Э, 68, 68А","59.833171547068766,30.1963615"
5618,Автобус,Остановка,ДОРОГА НА КРАСНЫЙ БОР,ДОРОГА НА КРАСНЫЙ БОР,Гостилицкое шоссе,"463, 463А, 682, 683, 683А, 684, 685А, 686","59.73092796638565,29.6115074"
5619,Автобус,Остановка,4 КМ БЕТОННОЙ ДОРОГИ,4 КМ БЕТОННОЙ ДОРОГИ,,"682, 684","59.752851639457624,29.5583992"
5620,Автобус,Остановка,ЗАОСТРОВЬЕ,ЗАОСТРОВЬЕ,,"463, 463А, 684, 685А, 686","59.716513150169781,29.5160446"
5621,Автобус,Остановка,ЗАОСТРОВЬЕ,ЗАОСТРОВЬЕ,,"463, 463А, 684, 685А, 686","59.716189382548997,29.5163136"
5622,Автобус,Остановка,"НОВАЯ БУРЯ, 1","НОВАЯ БУРЯ, 1",,"463, 463А, 684, 685А, 686","59.725026425258044,29.4646816"
5623,Автобус,Остановка,ШУВАЛОВСКИЙ ПАРК,ШУВАЛОВСКИЙ ПАРК,"Заречная ул., Парковая ул",167,"60.068167989271423,30.2980194"
5624,Автобус,Остановка,ШУВАЛОВСКИЙ ПАРК,ШУВАЛОВСКИЙ ПАРК,Заречная ул.Парковая ул,167,"60.068300903148469,30.2977219"
5625,Автобус,Остановка,"НОВАЯ БУРЯ, 1","НОВАЯ БУРЯ, 1",,"463, 463А, 684, 685А, 686","59.724747505186635,29.4662189"
5626,Автобус,Остановка,УЛ. ВОЛОГДИНА,УЛ. ВОЛОГДИНА,"Ольгинская дорога, улица Вологдина",167,"60.078301987902712,30.32061"
5627,Автобус,Остановка,УЛ. ВОЛОГДИНА,УЛ. ВОЛОГДИНА,Ольгинская дорога,167,"60.078254289756103,30.320282"
5628,Автобус,Остановка,"НОВАЯ БУРЯ, 2","НОВАЯ БУРЯ, 2",,"463, 463А, 684, 685А, 686","59.72568411646472,29.4545689"
5629,Автобус,Остановка,"НОВАЯ БУРЯ, 2","НОВАЯ БУРЯ, 2",,"463, 463А, 684, 685А, 686","59.725498173665244,29.4571648"
5630,Автобус,Остановка,"САДОВОДСТВО ""КЛИМОВЕЦ"" (ПОСАДКА)","САДОВОДСТВО ""КЛИМОВЕЦ"" (ПОСАДКА)",Ольгинская дорога,167,"60.083987794012053,30.3263855"
5631,Автобус,Остановка,"ЛОПУХИНКА, УЛ. ДЕТСТВА","ЛОПУХИНКА, УЛ. ДЕТСТВА",,"463, 463А, 684, 685А, 686","59.725697889964302,29.429697"
5632,Автобус,Остановка,"ЛОПУХИНКА, УЛ. ДЕТСТВА","ЛОПУХИНКА, УЛ. ДЕТСТВА",,"463, 463А, 684, 685А, 686","59.725598031963848,29.4300251"
5633,Автобус,Остановка,"ЛОПУХИНКА, ПЕРВОМАЙСКАЯ УЛ","ЛОПУХИНКА, ПЕРВОМАЙСКАЯ УЛ",Первомайская улица,"463, 463А, 684, 685А, 686","59.729058454328865,29.4110889"
5634,Автобус,Остановка,"ЛОПУХИНКА, ПЕРВОМАЙСКАЯ УЛ","ЛОПУХИНКА, ПЕРВОМАЙСКАЯ УЛ",Первомайская улица,"463, 463А, 684, 685А, 686","59.729120428779119,29.4114342"
5635,Автобус,Остановка,ВОРОНИНО,ВОРОНИНО,,685А,"59.754902161181164,29.2727184"
5636,Автобус,Остановка,ВОРОНИНО,ВОРОНИНО,,685А,"59.754712940454318,29.2726307"
5637,Автобус,Остановка,5 КМ БЕТОННОЙ ДОРОГИ,5 КМ БЕТОННОЙ ДОРОГИ,,"463, 684","59.717801300950164,29.331274"
5638,Автобус,ДС,УЛ. МАРШАЛА ТУХАЧЕВСКОГО - ВЫСАДКИ И ПОСАДКИ НЕТ,УЛ. МАРШАЛА ТУХАЧЕВСКОГО - ВЫСАДКИ И ПОСАДКИ НЕТ,"Маршала Тухачевского ул., Львовская ул",288,"59.969524652249362,30.4212112"
5639,Автобус,Остановка,3-Я СОВЕТСКАЯ УЛ,3-Я СОВЕТСКАЯ УЛ,"Суворовский пр., 3-я Советская ул","181, 54","59.932901900553681,30.3686028"
5640,Автобус,Остановка,ЛИТЕЙНЫЙ ПР,ЛИТЕЙНЫЙ ПР,"Невский пр., Рубинштейна ул","181, 191, 22, 24, 27, 3, 7","59.932922432665549,30.3468971"
5641,Автобус,Остановка,3-Я СОВЕТСКАЯ УЛ,3-Я СОВЕТСКАЯ УЛ,"Суворовский пр., 3-я Советская ул","181, 54","59.932559696818046,30.3685284"
5642,Автобус,Остановка,"УЛ. РУДНЕВА, УГ. ПРИДОРОЖНОЙ АЛЛЕИ","УЛ. РУДНЕВА, УГ. ПРИДОРОЖНОЙ АЛЛЕИ","Руднева ул., Придорожная аллея","198, 60, 60","60.052858863324936,30.3714752"
5643,Автобус,Остановка,СИРЕНЕВЫЙ БУЛЬВАР,СИРЕНЕВЫЙ БУЛЬВАР,"Руднева ул., Сиреневый бульвар",198,"60.050240158667151,30.3692513"
5644,Автобус,Остановка,СИРЕНЕВЫЙ БУЛЬВАР,СИРЕНЕВЫЙ БУЛЬВАР,"Руднева ул., Сиреневый бульвар","198, 60, 60","60.050850526366204,30.3703041"
5645,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД,ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД,"Морская улица, Богумиловская улица","200, 348, 4Л","59.910695829373765,29.795269"
5646,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД,ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД,"Морская улица, Богумиловская улица","200, 348, 4Л","59.910932105951375,29.7953987"
5647,Автобус,Остановка,"СТ. МЕТРО ""ГРАЖДАНСКИЙ ПРОСПЕКТ""","СТ. МЕТРО ""ГРАЖДАНСКИЙ ПРОСПЕКТ""","Гражданский проспект, проспект Просвещения","177, 199, 295, 60, 60","60.034758962486883,30.419136"
5648,Автобус,Остановка,"ГРАЖДАНСКИЙ ПР., 110","ГРАЖДАНСКИЙ ПР., 110",Гражданский проспект,"177, 199, 295, 60, 60","60.030217936081918,30.4147778"
5649,Автобус,Остановка,"ГРАЖДАНСКИЙ ПР., 110","ГРАЖДАНСКИЙ ПР., 110",Гражданский пр,"139, 177, 199, 295, 60, 60","60.03046018540698,30.4155083"
5650,Автобус,Остановка,ВЕСЕЛЬЕ,ВЕСЕЛЬЕ,"Гатчинское шоссе, Новая улица",547,"59.667533557696885,29.8764801"
5651,Автобус,Остановка,ВЕСЕЛЬЕ,ВЕСЕЛЬЕ,Гатчинское шоссе,547,"59.667719822648031,29.8751011"
5652,Автобус,Остановка,"ТЕРВОЛОВО, ШКОЛА","ТЕРВОЛОВО, ШКОЛА","Гатчинское шоссе, Школьная улица",547,"59.66565705305333,29.8897038"
5653,Автобус,Остановка,"ТЕРВОЛОВО, ШКОЛА","ТЕРВОЛОВО, ШКОЛА","Гатчинское шоссе, Новая улица",547,"59.665984759043994,29.8874741"
5654,Автобус,Остановка,УЛ. ЖОРЫ АНТОНЕНКО,УЛ. ЖОРЫ АНТОНЕНКО,"Морская ул., Жоры Антоненко ул","200, 343Э, 348, 349, 682, 683, 683А, 684, 685А, 686","59.90205859518494,29.8175526"
5655,Автобус,Остановка,МЁДУШИ,МЁДУШИ,,686,"59.698783985629795,29.3973598"
5656,Автобус,Остановка,МЁДУШИ,МЁДУШИ,,686,"59.698866692998976,29.397995"
5657,Автобус,Остановка,ПР. ЛУНАЧАРСКОГО,ПР. ЛУНАЧАРСКОГО,"Гражданский пр., Луначарского пр","177, 199, 295, 60, 60","60.026710239767873,30.4112034"
5658,Автобус,Остановка,ПР. ЛУНАЧАРСКОГО,ПР. ЛУНАЧАРСКОГО,"Гражданский пр., Луначарского пр","139, 177, 199, 295, 60, 60","60.026474787671489,30.4115982"
5659,Автобус,Остановка,"УЛ. СТОЙКОСТИ, УГ. ПР. МАРШАЛА ЖУКОВА","УЛ. СТОЙКОСТИ, УГ. ПР. МАРШАЛА ЖУКОВА","Стойкости ул., Маршала Жукова пр","18, 256, 88, 89","59.828482690389869,30.190918"
5660,Автобус,Остановка,"УЛ. СТОЙКОСТИ, УГ. ПР. МАРШАЛА ЖУКОВА","УЛ. СТОЙКОСТИ, УГ. ПР. МАРШАЛА ЖУКОВА","Стойкости ул., Маршала Жукова пр","18, 256, 88, 89","59.82865776205545,30.1911926"
5661,Автобус,Остановка,"УЛ. СТОЙКОСТИ, 35","УЛ. СТОЙКОСТИ, 35 [18,88,89]",Стойкости ул,"18, 256, 88, 89","59.827157608337458,30.1980457"
5662,Автобус,Остановка,"УЛ. СТОЙКОСТИ, 35","УЛ. СТОЙКОСТИ, 35 [18,88,89]",Стойкости ул,"18, 256, 88, 89","59.827394479205651,30.1978436"
5663,Автобус,Остановка,ГОРКИ,ГОРКИ,,686,"59.684065714202305,29.3985996"
5664,Автобус,Остановка,УЛ. ГЕНЕРАЛА СИМОНЯКА,"УЛ. ГЕНЕРАЛА СИМОНЯКА [18,88,89]","Стойкости ул., Генерала Симоняка ул","18, 256, 88, 89","59.827195370472786,30.2054501"
5665,Автобус,Остановка,УЛ. ГЕНЕРАЛА СИМОНЯКА,"УЛ. ГЕНЕРАЛА СИМОНЯКА [18,88,89]","Стойкости ул., Генерала Симоняка ул","18, 256, 88, 89","59.827370448904489,30.203825"
5666,Автобус,Остановка,"УЛ. СТОЙКОСТИ, 8","УЛ. СТОЙКОСТИ, 8 [18,88,89]",Стойкости ул,"18, 256, 88, 89","59.82775836450439,30.2149506"
5667,Автобус,Остановка,"УЛ. СТОЙКОСТИ, 8","УЛ. СТОЙКОСТИ, 8 [18,88,89]",Стойкости ул,"18, 256, 88, 89","59.827830454516324,30.2141037"
5668,Автобус,Остановка,"УЛ. СОЛДАТА КОРЗУНА, УГ. УЛ. СТОЙКОСТИ","УЛ. СОЛДАТА КОРЗУНА, УГ. УЛ. СТОЙКОСТИ [88]","Солдата Корзуна ул., Стойкости ул",88,"59.829406097233196,30.2213268"
5669,Автобус,Остановка,"УЛ. СОЛДАТА КОРЗУНА, УГ. УЛ. СТОЙКОСТИ","УЛ. СОЛДАТА КОРЗУНА, УГ. УЛ. СТОЙКОСТИ [18,88,89]","Стойкости ул., Солдата Корзуна ул","18, 256, 88, 89","59.828990738958382,30.2205658"
5670,Автобус,Остановка,КУШЕЛЕВСКАЯ ДОРОГА,КУШЕЛЕВСКАЯ ДОРОГА,"Кушелевская дор., проспект Непокорённых","222, 271, 275, 295, 60, 60","59.99559214597528,30.3799515"
5671,Автобус,Остановка,"ПР. ВЕТЕРАНОВ, УГ. УЛ. СОЛДАТА КОРЗУНА","ПР. ВЕТЕРАНОВ, УГ. УЛ. СОЛДАТА КОРЗУНА [88]","Солдата Корзуна ул., Ветеранов пр",88,"59.833212734685723,30.2181301"
5672,Автобус,Остановка,"ПР. МАРШАЛА БЛЮХЕРА, УГ. КУШЕЛЕВСКОЙ ДОРОГИ","ПР. МАРШАЛА БЛЮХЕРА, УГ. КУШЕЛЕВСКОЙ ДОРОГИ","Кушелевская дор., Маршала Блюхера пр","222, 271, 275, 295, 60, 60","59.986037473292242,30.3646278"
5673,Автобус,Остановка,"ПР. МАРШАЛА БЛЮХЕРА, УГ. КУШЕЛЕВСКОЙ ДОРОГИ","ПР. МАРШАЛА БЛЮХЕРА, УГ. КУШЕЛЕВСКОЙ ДОРОГИ","Кушелевская дор., Маршала Блюхера пр","222, 271, 275, 295, 60, 60","59.985958892863565,30.3653755"
5674,Автобус,Остановка,"ЛОМОНОСОВ, ВОКЗАЛ","ЛОМОНОСОВ, ВОКЗАЛ","Привокзальная площадь, Петербургская улица","175, 1Л, 200, 204Э, 2Л, 343Э, 347, 348, 349, 359, 3Л, 4Л, 7Л","59.917334903322342,29.7700901"
5675,Автобус,Остановка,БОЛЬШОЙ МЕНШИКОВСКИЙ ДВОРЕЦ,БОЛЬШОЙ МЕНШИКОВСКИЙ ДВОРЕЦ,"Краснофлотское шоссе, Дворцовый проспект","175, 1Л, 2Л","59.917403375763719,29.7495308"
5676,Автобус,Остановка,БОЛЬШОЙ МЕНШИКОВСКИЙ ДВОРЕЦ,БОЛЬШОЙ МЕНШИКОВСКИЙ ДВОРЕЦ,"Краснофлотское шоссе, Дворцовый проспект","175, 1Л, 2Л","59.91702335193051,29.7508698"
5677,Автобус,Остановка,ТРОИЦКАЯ СЛОБОДА,ТРОИЦКАЯ СЛОБОДА,"Краснофлотское шоссе, Оранжерейная улица","175, 1Л, 2Л","59.918283234065001,29.7440701"
5678,Автобус,Остановка,ТРОИЦКАЯ СЛОБОДА,ТРОИЦКАЯ СЛОБОДА,"Краснофлотское шоссе, Оранжерейная улица","175, 1Л, 2Л","59.917934032394669,29.7441998"
5679,Автобус,Остановка,СМОЛЯНАЯ УЛ,СМОЛЯНАЯ УЛ,"2-й луч ул., Книпович ул",58,"59.909021299353014,30.3984852"
5680,Автобус,Остановка,"ПР. ПРОСВЕЩЕНИЯ, УГ. УЛ. РУДНЕВА","ПР. ПРОСВЕЩЕНИЯ, УГ. УЛ. РУДНЕВА","Руднева ул., проспект Просвещения",198,"60.047177920223113,30.3672237"
5681,Автобус,Остановка,ТРАНСПОРТНЫЙ ПЕР,ТРАНСПОРТНЫЙ ПЕР,"Краснофлотское шоссе, Транспортный переулок","175, 1Л, 2Л","59.919834055913824,29.7343311"
5682,Автобус,Остановка,ТРАНСПОРТНЫЙ ПЕР,ТРАНСПОРТНЫЙ ПЕР,"Краснофлотское шоссе, Транспортный переулок","175, 1Л, 2Л","59.919693697537078,29.7345219"
5683,Автобус,Остановка,"УЛ. СОЛДАТА КОРЗУНА, УГ. УЛ. СТОЙКОСТИ","УЛ. СОЛДАТА КОРЗУНА, УГ. УЛ. СТОЙКОСТИ [18,89]","Солдата Корзуна ул., Стойкости ул","18, 256, 89","59.828671493127558,30.2212753"
5684,Автобус,Остановка,Ж.-Д. ПЛАТФОРМА УЛЬЯНКА,Ж.-Д. ПЛАТФОРМА УЛЬЯНКА,"Народного Ополчения пр., Солдата Корзуна ул","18, 256, 89","59.825399905215392,30.2247181"
5685,Автобус,Остановка,Ж.-Д. ПЛАТФОРМА УЛЬЯНКА,Ж.-Д. ПЛАТФОРМА УЛЬЯНКА,"Солдата Корзуна ул., Народного Ополчения пр","18, 256, 89","59.826000693082278,30.2238598"
5686,Автобус,Остановка,УЛ. КОЗЛОВА,"УЛ. КОЗЛОВА [18,89]","Народного Ополчения пр., Козлова ул","18, 256, 89","59.826886406289681,30.232254"
5687,Автобус,Остановка,УЛ. КОЗЛОВА,"УЛ. КОЗЛОВА [18,89]","Народного Ополчения пр., Козлова ул","18, 256, 89","59.826869241528819,30.2311306"
5688,Автобус,Остановка,НОВОГОРСКАЯ УЛ,НОВОГОРСКАЯ УЛ,"Жоры Антоненко ул., Новогорская ул","343Э, 349, 4Л","59.89969854766327,29.8140869"
5689,Автобус,Остановка,УЛ. СВЯЗИ,УЛ. СВЯЗИ,"улица Связи, улица Кипренского","343Э, 349, 4Л","59.897643217272609,29.8069077"
5690,Автобус,Остановка,БЕЗЫМЯННЫЙ ПЕР,БЕЗЫМЯННЫЙ ПЕР,"Безымянный переулок, Павловский проспект",4Л,"59.893607548616906,29.8079262"
5691,Автобус,Остановка,ГАРАЖ РАЙПОТРЕБСОЮЗА,ГАРАЖ РАЙПОТРЕБСОЮЗА,"Ивановская ул., Безымянный пер",4Л,"59.892658512886712,29.8088455"
5692,Автобус,Остановка,"БИЗНЕС-ПАРК ""МАРТЫШКИНО""","БИЗНЕС-ПАРК ""МАРТЫШКИНО""",Мира ул,4Л,"59.891647777154297,29.8141384"
